,0. timestamp,1. open,2. high,3. low,4. close,5. volume,EMA_5,SMA_10
9,2023-07-25 09:30:00,40.5500,40.5500,40.2700,40.3100,98818,40.482290899757686,40.502
10,2023-07-25 10:00:00,40.3100,40.4000,40.2850,40.3950,96757,40.46547985131689,40.48950000000001
11,2023-07-25 10:30:00,40.3900,40.4700,40.3800,40.4500,79015,40.462573961180546,40.4825
12,2023-07-25 11:00:00,40.4450,40.4600,40.3200,40.4500,73614,40.460262238406145,40.4755
13,2023-07-25 11:30:00,40.4500,40.4500,40.3900,40.4500,59179,40.45840739820504,40.468500000000006
14,2023-07-25 12:00:00,40.4700,40.4990,40.4500,40.4550,69688,40.45780008024569,40.463
15,2023-07-25 12:30:00,40.4500,40.4700,40.3500,40.3900,65457,40.445853924477255,40.45
16,2023-07-25 13:00:00,40.3900,40.4000,40.3100,40.3450,68274,40.42825154051513,40.429500000000004
17,2023-07-25 13:30:00,40.3450,40.4200,40.3300,40.4070,67786,40.424571386703334,40.4172
18,2023-07-25 14:00:00,40.4050,40.4900,40.3600,40.4650,86817,40.43152721226925,40.411699999999996
19,2023-07-25 14:30:00,40.4700,40.5450,40.4700,40.5400,99205,40.45009020840508,40.4347
20,2023-07-25 15:00:00,40.5400,40.5800,40.4950,40.5800,119489,40.472222932977154,40.453199999999995
21,2023-07-25 15:30:00,40.5750,40.6500,40.5450,40.6500,437108,40.50239905213417,40.473200000000006
22,2023-07-25 16:00:00,40.6500,40.6500,40.5200,40.6400,783485,40.52568402872912,40.492200000000004
23,2023-07-25 16:30:00,40.6400,40.6400,40.6400,40.6400,1800,40.544979409424435,40.511199999999995
24,2023-07-25 17:00:00,40.7900,40.7900,40.7900,40.7900,2,40.58624878470907,40.5447
25,2023-07-25 18:00:00,40.7700,40.7700,40.7700,40.7700,4,40.61714387118273,40.5827
26,2023-07-25 18:30:00,40.6400,40.6400,40.6400,40.6400,237209,40.62098115983752,40.612199999999994
27,2023-07-25 19:00:00,40.6400,40.6400,40.6400,40.6400,237209,40.62417031294542,40.6355
28,2023-07-25 19:30:00,40.7500,40.7500,40.7500,40.7500,18,40.64524848317556,40.664
29,2023-07-26 04:30:00,40.7500,40.7500,40.7500,40.7500,3,40.66278092860054,40.685
30,2023-07-26 07:00:00,40.6800,40.6800,40.6800,40.6800,25,40.665660884206495,40.69500000000001
31,2023-07-26 07:30:00,40.6300,40.6400,40.6300,40.6400,259,40.6613715216412,40.694
32,2023-07-26 08:00:00,40.7980,40.7980,40.4800,40.6400,171,40.657800896480595,40.694
33,2023-07-26 08:30:00,40.6300,40.6400,40.6300,40.6400,42,40.65482804075472,40.694
34,2023-07-26 09:00:00,40.6500,40.7400,40.6300,40.6300,216,40.65068301644531,40.678
35,2023-07-26 09:30:00,40.6100,40.8700,40.5950,40.6900,87748,40.65724510503894,40.67
36,2023-07-26 10:00:00,40.6950,40.7900,40.6900,40.7900,68853,40.67939696464989,40.685
37,2023-07-26 10:30:00,40.7990,41.1300,40.7800,41.0900,82431,40.74789791727806,40.730000000000004
38,2023-07-26 11:00:00,41.1000,41.1200,40.9600,40.9750,40186,40.78577919269465,40.7525
39,2023-07-26 11:30:00,40.9800,40.9800,40.8600,40.9150,61653,40.807330657050905,40.769
40,2023-07-26 12:00:00,40.9200,41.0000,40.9200,40.9720,29433,40.834791117116104,40.798199999999994
41,2023-07-26 12:30:00,40.9700,40.9700,40.8400,40.8400,27068,40.83565967464348,40.818200000000004
42,2023-07-26 13:00:00,40.8450,40.9300,40.8100,40.9200,35062,40.84972193236985,40.846199999999996
43,2023-07-26 13:30:00,40.9200,40.9510,40.8900,40.9050,47203,40.85893796755459,40.8727
44,2023-07-26 14:00:00,40.9000,40.9000,40.7550,40.8000,43572,40.84911228633997,40.8897
45,2023-07-26 14:30:00,40.7900,40.8370,40.7400,40.8350,56778,40.84675970256358,40.904199999999996
46,2023-07-26 15:00:00,40.8300,40.8400,40.6200,40.7350,104910,40.82812954795787,40.898700000000005
47,2023-07-26 15:30:00,40.7350,40.8350,40.7300,40.8100,266889,40.82510747843699,40.8707
48,2023-07-26 16:00:00,40.8100,41.1100,40.5020,40.9800,703413,40.85092630321376,40.8712
